model,conversation_id,question_ref,answer_ref,question,answer,score,manual_label,offset_answer_start,offset_answer_end,context,offset_context_start,offset_context_end
deepset/xlm-roberta-large-squad2,10964,0,0,Is a meeting proposed in the future?,if we catch up in about six weeks time,5.358246803,2,16802,16840, and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time t,16771,16871
deepset/xlm-roberta-large-squad2,10964,0,1,Is a meeting proposed in the future?,maybe if we catch up in about six weeks time,3.721631527,,16796,16840,ial and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of tim,16768,16868
deepset/xlm-roberta-large-squad2,10964,0,2,Is a meeting proposed in the future?,we catch up in about six weeks time,3.154574871,,16805,16840,and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time to,16772,16872
deepset/xlm-roberta-large-squad2,10964,0,3,Is a meeting proposed in the future?,"if we catch up in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues """,2.480381012,,16802,17070, if we catch up in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them. And then I can let you know how I've got on. And then we can start perhaps sharing some of those successes hopefully with the rest of my colleagues ,16802,17070
deepset/xlm-roberta-large-squad2,10964,0,4,Is a meeting proposed in the future?,if we catch up in about six weeks time it'll give me a bit of time to start finding those patients and reviewing them,2.476852179,,16802,16919,e if we catch up in about six weeks time it'll give me a bit of time to start finding those patients and reviewing the,16801,16919
deepset/xlm-roberta-large-squad2,10964,1,0,Is a follow-up meeting proposed?,if we catch up in about six weeks time,5.875426292,2,16802,16840, and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time t,16771,16871
deepset/xlm-roberta-large-squad2,10964,1,1,Is a follow-up meeting proposed?,we catch up in about six weeks time,3.834233284,,16805,16840,and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of time to,16772,16872
deepset/xlm-roberta-large-squad2,10964,1,2,Is a follow-up meeting proposed?,maybe if we catch up in about six weeks time,3.706940651,,16796,16840,ial and see how I get on. So maybe if we catch up in about six weeks time it'll give me a bit of tim,16768,16868
deepset/xlm-roberta-large-squad2,10964,1,3,Is a follow-up meeting proposed?,It might be that we we invite you back again Alex to do a group session,3.459639788,,16526,16597,e this forward. It might be that we we invite you back again Alex to do a group session and also to ,16511,16611
deepset/xlm-roberta-large-squad2,10964,1,4,Is a follow-up meeting proposed?,It might be that we we invite you back again Alex to do a group session and also to catch up with my nurse,3.181726217,,16526,16632, It might be that we we invite you back again Alex to do a group session and also to catch up with my nurs,16526,16632
deepset/xlm-roberta-large-squad2,10964,2,0,Did the operator propose another meeting?,no_answer,6.367368698,2,0,0,,0,0
deepset/xlm-roberta-large-squad2,10964,2,1,Did the operator propose another meeting?,Asaba,-1.138745666,,7376,7381,in these now so recommending going straight from Asaba to LAMA LABA. And I know currently you're ten,7328,7428
deepset/xlm-roberta-large-squad2,10964,2,2,Did the operator propose another meeting?,they're obviously saying go straight in with a LABA LAMA,-4.00980711,,7845,7901,ed now hasn't. I think they're obviously saying go straight in with a LABA LAMA just need to get my ,7823,7923
deepset/xlm-roberta-large-squad2,10964,2,3,Did the operator propose another meeting?,"operator said ""that would be brilliant",-4.066840172,,17071,17109,"ith the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email wi",17040,17140
deepset/xlm-roberta-large-squad2,10964,2,4,Did the operator propose another meeting?,"LAMA LABA. Yeah. That's I'm just going to pull up some data now and let me know if you can see. And my screen. ""
customer said ""Something's happening. OK. ""
operator said ""Can you see any anything at the moment? ""
customer said ""I can see inhalability ""
operator said ""Oh that's brilliant. OK and just while we're discussing this I just thought I'd pull them up as a reminder. And because as you can see I'm sureyou're aware that the local guidelines and there are in these now so recommending going straight from Asaba",-4.726208687,,6863,7382," LAMA LABA. Yeah. That's I'm just going to pull up some data now and let me know if you can see. And my screen. ""
customer said ""Something's happening. OK. ""
operator said ""Can you see any anything at the moment? ""
customer said ""I can see inhalability ""
operator said ""Oh that's brilliant. OK and just while we're discussing this I just thought I'd pull them up as a reminder. And because as you can see I'm sureyou're aware that the local guidelines and there are in these now so recommending going straight from Asaba",6862,7382
deepset/xlm-roberta-large-squad2,10964,3,0,Did the operator propose a meeting in the future?,no_answer,3.204435468,2,0,0,,0,0
deepset/xlm-roberta-large-squad2,10964,3,1,Did the operator propose a meeting in the future?,Asaba,-1.5697999,,7376,7381,in these now so recommending going straight from Asaba to LAMA LABA. And I know currently you're ten,7328,7428
deepset/xlm-roberta-large-squad2,10964,3,2,Did the operator propose a meeting in the future?,I'll send you a calendar invite,-2.824250698,,17285,17316,"w I will be fine. ""
operator said ""I'll send you a calendar invite for that then. And we do have an ",17250,17350
deepset/xlm-roberta-large-squad2,10964,3,3,Did the operator propose a meeting in the future?,"operator said ""that would be brilliant",-2.864295244,,17071,17109,"ith the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email wi",17040,17140
deepset/xlm-roberta-large-squad2,10964,3,4,Did the operator propose a meeting in the future?,"operator said ""that would be brilliant.",-3.452970505,,17071,17110,"ith the rest of my colleagues ""
operator said ""that would be brilliant. So if I send you an email wi",17040,17140
deepset/xlm-roberta-large-squad2,12046,0,0,Is a meeting proposed in the future?,"in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",0.837042272,2,26436,26628," in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26436,26628
deepset/xlm-roberta-large-squad2,12046,0,1,Is a meeting proposed in the future?,"it's OK to touch base with you again in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",0.830858171,,26399,26628,"n it's OK to touch base with you again in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26398,26628
deepset/xlm-roberta-large-squad2,12046,0,2,Is a meeting proposed in the future?,Is it possible to book in a date and time or is it best for me to try you on a Thursday,0.776012063,,26542,26629," said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday?""
cus",26535,26635
deepset/xlm-roberta-large-squad2,12046,0,3,Is a meeting proposed in the future?,no_answer,0.621652246,,0,0,,0,0
deepset/xlm-roberta-large-squad2,12046,0,4,Is a meeting proposed in the future?,"to touch base with you again in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",0.30512625,,26407,26628,"K to touch base with you again in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursda",26406,26628
deepset/xlm-roberta-large-squad2,12046,1,0,Is a follow-up meeting proposed?,"it's OK to touch base with you again in maybe four weeks time to get that feedback?""",3.100916624,2,26399,26483,"and then it's OK to touch base with you again in maybe four weeks time to get that feedback?""
custom",26391,26491
deepset/xlm-roberta-large-squad2,12046,1,1,Is a follow-up meeting proposed?,"Have you got them booked in for a follow up. Follow up?""
customer said ""yeah in a couple of weeks time.""",3.049670219,,2600,2704," Have you got them booked in for a follow up. Follow up?""
customer said ""yeah in a couple of weeks time.",2600,2704
deepset/xlm-roberta-large-squad2,12046,1,2,Is a follow-up meeting proposed?,it's OK to touch base with you again in maybe four weeks time to get that feedback,2.577255249,,26399,26481," and then it's OK to touch base with you again in maybe four weeks time to get that feedback?""
custo",26390,26490
deepset/xlm-roberta-large-squad2,12046,1,3,Is a follow-up meeting proposed?,"Have you got them booked in for a follow up. Follow up?""",2.565070152,,2600,2656,"r said ""Oh great news. Have you got them booked in for a follow up. Follow up?""
customer said ""yeah ",2578,2678
deepset/xlm-roberta-large-squad2,12046,1,4,Is a follow-up meeting proposed?,it's OK to touch base with you again in maybe four weeks time,2.276779175,,26399,26460,noon to you and then it's OK to touch base with you again in maybe four weeks time to get that feedb,26379,26479
deepset/xlm-roberta-large-squad2,12046,2,0,Did the operator propose another meeting?,no_answer,2.547109127,-2,0,0,,0,0
deepset/xlm-roberta-large-squad2,12046,2,1,Did the operator propose another meeting?,Trixeo,-2.706675768,,2007,2013,"o or Bevespi that you've used?""
customer said ""Trixeo.""
operator said ""Perfect And what sort of pati",1960,2060
deepset/xlm-roberta-large-squad2,12046,2,2,Did the operator propose another meeting?,"operator said ""yes.""",-3.016891479,,5489,5509,"r in showing patients research because.""
operator said ""yes.""
customer said ""It's one thing to say t",5449,5549
deepset/xlm-roberta-large-squad2,12046,2,3,Did the operator propose another meeting?,"I'll try it.""",-3.42778492,,5971,5984,"e.""
customer said ""Exactly.""
operator said ""I'll try it.""
customer said ""And they'll give it a go th",5927,6027
deepset/xlm-roberta-large-squad2,12046,2,4,Did the operator propose another meeting?,"I'll get that over this afternoon to you and then it's OK to touch base with you again in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",-3.766377449,,26350,26629,"""I'll get that over this afternoon to you and then it's OK to touch base with you again in maybe four weeks time to get that feedback?""
customer said ""give you a bit of update.""
operator said ""Is it possible to book in a date and time or is it best for me to try you on a Thursday",26349,26629
deepset/xlm-roberta-large-squad2,12046,3,0,Did the operator propose a meeting in the future?,"I'll try it.""",1.804890752,-2,5971,5984,"e.""
customer said ""Exactly.""
operator said ""I'll try it.""
customer said ""And they'll give it a go th",5927,6027
deepset/xlm-roberta-large-squad2,12046,3,1,Did the operator propose a meeting in the future?,"operator said ""I'll try it.""",1.18129015,,5955,5983,"o my life.""
customer said ""Exactly.""
operator said ""I'll try it.""
customer said ""And they'll give it",5919,6019
deepset/xlm-roberta-large-squad2,12046,3,2,Did the operator propose a meeting in the future?,no_answer,0.888083398,,0,0,,0,0
deepset/xlm-roberta-large-squad2,12046,3,3,Did the operator propose a meeting in the future?,"""I'll try it.""",0.669938326,,5969,5983,"fe.""
customer said ""Exactly.""
operator said ""I'll try it.""
customer said ""And they'll give it a go t",5926,6026
deepset/xlm-roberta-large-squad2,12046,3,4,Did the operator propose a meeting in the future?,"operator said ""yes.""
customer said ""It's one thing to say to them oh well in trials but if you can actually show them especially things like these blocks you know where the different coloured blocks. And you can see visually that there is you know we prove to be working then they start to use it with a much more positive attitude.""
operator said ""Yeah yeah. It encourages them to think yeah this is going to make a difference to my life.""
customer said ""Exactly.""
operator said ""I'll try it.""",-0.323934317,,5489,5983,"
operator said ""yes.""
customer said ""It's one thing to say to them oh well in trials but if you can actually show them especially things like these blocks you know where the different coloured blocks. And you can see visually that there is you know we prove to be working then they start to use it with a much more positive attitude.""
operator said ""Yeah yeah. It encourages them to think yeah this is going to make a difference to my life.""
customer said ""Exactly.""
operator said ""I'll try it.",5489,5983
deepset/xlm-roberta-large-squad2,12838,0,0,Is a meeting proposed in the future?,we can arrange meeting for the practice clinical pharmacist,4.465264797,2,13146,13205, is it something that we can arrange meeting for the practice clinical pharmacist to get me to prese,13125,13225
deepset/xlm-roberta-large-squad2,12838,0,1,Is a meeting proposed in the future?,"we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?""",3.785348892,,13146,13250, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?,13146,13250
deepset/xlm-roberta-large-squad2,12838,0,2,Is a meeting proposed in the future?,we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there,3.422253847,,13146,13248, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from ther,13146,13248
deepset/xlm-roberta-large-squad2,12838,0,3,Is a meeting proposed in the future?,we can arrange meeting,2.908802986,,13146,13168,the next step then is it something that we can arrange meeting for the practice clinical pharmacist ,13107,13207
deepset/xlm-roberta-large-squad2,12838,0,4,Is a meeting proposed in the future?,we can arrange meeting for the practice,2.418868065,,13146,13185, step then is it something that we can arrange meeting for the practice clinical pharmacist to get m,13115,13215
deepset/xlm-roberta-large-squad2,12838,1,0,Is a follow-up meeting proposed?,"we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?""",4.214421749,2,13146,13250, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?,13146,13250
deepset/xlm-roberta-large-squad2,12838,1,1,Is a follow-up meeting proposed?,we can arrange meeting for the practice clinical pharmacist,3.968537331,,13146,13205, is it something that we can arrange meeting for the practice clinical pharmacist to get me to prese,13125,13225
deepset/xlm-roberta-large-squad2,12838,1,2,Is a follow-up meeting proposed?,we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there,3.879736662,,13146,13248, we can arrange meeting for the practice clinical pharmacist to get me to present and and go from ther,13146,13248
deepset/xlm-roberta-large-squad2,12838,1,3,Is a follow-up meeting proposed?,"is it something that we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?""",3.094889402,,13125,13250,n is it something that we can arrange meeting for the practice clinical pharmacist to get me to present and and go from there?,13124,13250
deepset/xlm-roberta-large-squad2,12838,1,4,Is a follow-up meeting proposed?,we can arrange meeting for the practice clinical pharmacist to get me to present,3.076675415,,13146,13226,thing that we can arrange meeting for the practice clinical pharmacist to get me to present and and ,13136,13236
deepset/xlm-roberta-large-squad2,12838,2,0,Did the operator propose another meeting?,no_answer,3.370248318,-2,0,0,,0,0
deepset/xlm-roberta-large-squad2,12838,2,1,Did the operator propose another meeting?,"""So the next step then is it something that we can arrange meeting for the practice clinical pharmacist",-4.364168644,1,13102,13205,"d ""So the next step then is it something that we can arrange meeting for the practice clinical pharmacis",13101,13205
deepset/xlm-roberta-large-squad2,12838,2,2,Did the operator propose another meeting?,we can arrange meeting for the practice clinical pharmacist,-4.601168633,,13146,13205, is it something that we can arrange meeting for the practice clinical pharmacist to get me to prese,13125,13225
deepset/xlm-roberta-large-squad2,12838,2,3,Did the operator propose another meeting?,the next step then is it something that we can arrange meeting for the practice clinical pharmacist,-4.82379818,,13106,13205,o the next step then is it something that we can arrange meeting for the practice clinical pharmacis,13105,13205
deepset/xlm-roberta-large-squad2,12838,2,4,Did the operator propose another meeting?,is it something that we can arrange meeting for the practice clinical pharmacist,-5.094848633,,13125,13205, step then is it something that we can arrange meeting for the practice clinical pharmacist to get m,13115,13215
deepset/xlm-roberta-large-squad2,12838,3,0,Did the operator propose a meeting in the future?,no_answer,2.709288836,-2,0,0,,0,0
deepset/xlm-roberta-large-squad2,12838,3,1,Did the operator propose a meeting in the future?,no I think that's probably a way forward,-2.344629526,,7454,7494,"simplistic approaches. So yeah no I think that's probably a way forward.""
operator said ""So going ba",7424,7524
deepset/xlm-roberta-large-squad2,12838,3,2,Did the operator propose a meeting in the future?,we can arrange meeting for the practice clinical pharmacist,-2.586950302,1,13146,13205, is it something that we can arrange meeting for the practice clinical pharmacist to get me to prese,13125,13225
